"universite_nom","etablissement_nom","domaine_nom","speciality","group","diplome_nom","diplomes_M","diplomes_F","diplomes_total"
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Affaires commerciales et administratives","إدارة الأعمال","تصرف","Diplôme National en Licence",16,58,74
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Sciences  informatique et multimédia","الأنظمة المحمولة والجوالة","إعلامية","Licence appliquée",3,0,3
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Sciences  informatique et multimédia","الأنظمة المحمولة والجوالة","إعلامية","Diplôme National en Licence",9,3,12
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Affaires commerciales et administratives","التصرف الصناعي","تصرف","Diplôme National en Licence",3,14,17
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Affaires commerciales et administratives","التصرف المندمج في الجودة و الصحة,و السلامة و المحيط","تصرف","Mastère professionnel",1,15,16
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Ingénierie et techniques apparentées","التصرف في الانتاج","هندسة صناعية والكترونيك وآلية","Licence appliquée",0,1,1
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Affaires commerciales et administratives","التصرف في المؤسسات الصغرى و المتوسطة","تصرف","Licence appliquée",2,4,6
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Diplôme National en Licence",10,7,17
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Services de transport","الوجستيك والنقل الدولي","تصرف في النقل واللوجستيك","Licence appliquée",0,1,1
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Services de transport","الوجستيك والنقل الدولي","تصرف في النقل واللوجستيك","Diplôme National en Licence",7,34,41
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Sciences  informatique et multimédia","تطوير أنظمة المعلومات","إعلامية","Licence appliquée",2,0,2
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Charguia","Sciences  informatique et multimédia","تطوير أنظمة المعلومات","إعلامية","Diplôme National en Licence",53,25,78
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Affaires commerciales et administratives","إدارة الأعمال","تصرف","Diplôme National en Licence",18,41,59
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","الالية والاعلامية الصناعية","هندسة صناعية والكترونيك وآلية","Diplôme National en Licence",7,4,11
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","التصميم والتصنيع الميكانيكي","هندسة ميكانيكية","Diplôme National en Licence",13,10,23
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Diplôme National en Licence",6,6,12
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Affaires commerciales et administratives","المحاسبة والمالية","محاسبة","Diplôme National en Licence",7,33,40
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","تكنولوجيا الإعلامية:تطوير أنظمة المعلومات","تحضير تقني","Diplôme National en Licence",3,2,5
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","صيانة صناعية","هندسة ميكانيكية","Diplôme National en Licence",7,2,9
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","هندسة كهربائية","هندسة كهربائية","Mastère professionnel",4,6,10
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","هندسة كهربائية : كهرباء صناعية","هندسة كهربائية","Diplôme National en Licence",6,3,9
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","هندسة ميكانيكية","هندسة ميكانيكية","Mastère professionnel",8,2,10
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Kasserine","Ingénierie et techniques apparentées","هندسة ميكانيكية","هندسة ميكانيكية","Mastère professionnel",5,3,8
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Affaires commerciales et administratives","إدارة الأعمال","تصرف","Diplôme National en Licence",0,18,18
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Sciences  informatique et multimédia","إعلامية صناعية","إعلامية","Diplôme National en Licence",4,7,11
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Sciences  informatique et multimédia","الأنظمة المحمولة والجوالة","إعلامية","Diplôme National en Licence",2,14,16
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Ingénierie et techniques apparentées","التصميم والتصنيع الميكانيكي","هندسة ميكانيكية","Diplôme National en Licence",23,0,23
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Ingénierie et techniques apparentées","التصميم والتصنيع الميكانيكي","هندسة ميكانيكية","Mastère professionnel",31,16,47
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Ingénierie et techniques apparentées","التصنيع الميكانيكي","هندسة ميكانيكية","Diplôme National en Licence",13,3,16
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Diplôme National en Licence",7,8,15
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Affaires commerciales et administratives","تصرف في المؤسسات","تصرف","Diplôme National en Licence",1,1,2
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Affaires commerciales et administratives","تقنيات المحاسبة والمالية","محاسبة","Diplôme National en Licence",3,19,22
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Ingénierie et techniques apparentées","تكنولوجيا الإعلامية:تطوير أنظمة المعلومات","تحضير تقني","Diplôme National en Licence",10,6,16
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Ingénierie et techniques apparentées","هندسة كهربائية: الالكترونيك الصناعي","هندسة كهربائية","Diplôme National en Licence",5,9,14
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Ingénierie et techniques apparentées","هندسة ميكانيكية: التصنيع باستخدام الحاسب الألي","هندسة ميكانيكية","Diplôme National en Licence",6,8,14
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques du Kef","Ingénierie et techniques apparentées","هندسة ميكانيكية:الصيانة الصناعية","هندسة ميكانيكية","Diplôme National en Licence",21,0,21
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Ingénierie et techniques apparentées","التصميم والتصنيع الميكانيكي","هندسة ميكانيكية","Diplôme National en Licence",16,9,25
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Licence appliquée",1,0,1
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Diplôme National en Licence",4,10,14
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Ingénierie et techniques apparentées","الميكاترونيك","هندسة الإلكتروميكانيك والميكاترونيك","Licence appliquée",1,2,3
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Ingénierie et techniques apparentées","الميكاترونيك","هندسة الإلكتروميكانيك والميكاترونيك","Diplôme National en Licence",30,12,42
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Sciences  informatique et multimédia","النظم المحمولة والجوالة","إعلامية","Diplôme National en Licence",5,3,8
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Sciences  informatique et multimédia","تطوير أنظمة المعلومات","إعلامية","Diplôme National en Licence",19,37,56
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Ingénierie et techniques apparentées","صيانة المعدات الفلاحية","هندسة ميكانيكية","Licence appliquée",10,2,12
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Ingénierie et techniques apparentées","هندسة كهربائية: الآلية والاعلامية الصناعية","هندسة كهربائية","Licence appliquée",1,0,1
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Ingénierie et techniques apparentées","هندسة كهربائية: الآلية والاعلامية الصناعية","هندسة كهربائية","Diplôme National en Licence",21,17,38
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Ingénierie et techniques apparentées","هندسة كهربائية: الكهرباء الصناعية","هندسة كهربائية","Licence appliquée",2,0,2
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Ingénierie et techniques apparentées","هندسة كهربائية: الكهرباء الصناعية","هندسة كهربائية","Diplôme National en Licence",22,12,34
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Béja","Ingénierie et techniques apparentées","هندسة ميكانيكية:الصيانة الصناعية","هندسة ميكانيكية","Diplôme National en Licence",8,0,8
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Jerba","Affaires commerciales et administratives","إدارة الأعمال","تصرف","Diplôme National en Licence",7,16,23
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Jerba","Ingénierie et techniques apparentées","الالكترونيك الصناعي","هندسة صناعية والكترونيك وآلية","Diplôme National en Licence",5,6,11
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Jerba","Ingénierie et techniques apparentées","الالية والاعلامية الصناعية","هندسة صناعية والكترونيك وآلية","Diplôme National en Licence",8,3,11
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Jerba","Affaires commerciales et administratives","التسويق الرقمي","تصرف","Diplôme National en Licence",5,16,21
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Jerba","Affaires commerciales et administratives","التصرف في المؤسسات الصغرى و المتوسطة","تصرف","Licence appliquée",0,3,3
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Jerba","Sciences  informatique et multimédia","الملتيميديا وتطوير الواب","فن الملتيميديا","Diplôme National en Licence",5,11,16
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Jerba","Sciences  informatique et multimédia","تطوير أنظمة المعلومات","إعلامية","Diplôme National en Licence",10,7,17
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Jerba","Ingénierie et techniques apparentées","صيانة صناعية","هندسة ميكانيكية","Diplôme National en Licence",8,1,9
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Jerba","Ingénierie et techniques apparentées","هندسة ميكانيكية","هندسة ميكانيكية","Diplôme National en Licence",9,4,13
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Affaires commerciales et administratives","إدارة الأعمال","تصرف","Diplôme National en Licence",29,33,62
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Sciences  informatique et multimédia","إعلامية","إعلامية","Mastère professionnel",4,6,10
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Sciences  informatique et multimédia","الأنظمة المحمولة والجوالة","إعلامية","Diplôme National en Licence",19,12,31
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Architecture et bâtiment","البناء","هندسة مدنية","Diplôme National en Licence",26,28,54
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Ingénierie et techniques apparentées","البناء المعدني","هندسة ميكانيكية","Diplôme National en Licence",23,5,28
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Affaires commerciales et administratives","التجارة والتوزيع","تصرف","Diplôme National en Licence",3,7,10
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Affaires commerciales et administratives","التجارة والتوزيع","تصرف","Mastère professionnel",2,5,7
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Affaires commerciales et administratives","التسويق الرقمي","تصرف","Diplôme National en Licence",10,12,22
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Affaires commerciales et administratives","التصرف الصناعي","تصرف","Diplôme National en Licence",35,11,46
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Ingénierie et techniques apparentées","التصميم والتصنيع الميكانيكي","هندسة ميكانيكية","Diplôme National en Licence",35,11,46
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Affaires commerciales et administratives","التوزيع والتصرف في الصفوف","تصرف","Licence appliquée",4,4,8
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Ingénierie et techniques apparentées","الصناعات البلاستيكية","هندسة صناعية والكترونيك وآلية","Diplôme National en Licence",19,8,27
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Ingénierie et techniques apparentées","الكهرباء الصناعية","هندسة كهربائية","Diplôme National en Licence",61,25,86
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Affaires commerciales et administratives","المالية الصغرى","تصرف","Licence appliquée",1,11,12
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Ingénierie et techniques apparentées","الميكاترونيك","هندسة الإلكتروميكانيك والميكاترونيك","Diplôme National en Licence",17,10,27
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Ingénierie et techniques apparentées","الميكاترونيك","هندسة الإلكتروميكانيك والميكاترونيك","Mastère professionnel",7,3,10
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Affaires commerciales et administratives","النقل والخدمات اللوجستية","تصرف","Diplôme National en Licence",7,8,15
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Affaires commerciales et administratives","تجارة دولية","تصرف","Diplôme National en Licence",8,14,22
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Sciences  informatique et multimédia","تطوير أنظمة المعلومات","إعلامية","Diplôme National en Licence",69,33,102
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Ingénierie et techniques apparentées","تطوير التطبيقات الجوالة","إتصالات","Mastère professionnel",6,3,9
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Affaires commerciales et administratives","تقنيات المحاسبة والمالية","محاسبة","Diplôme National en Licence",22,52,74
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Sciences  informatique et multimédia","شبكات إعلامية","إعلامية","Diplôme National en Licence",15,14,29
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Ingénierie et techniques apparentées","صيانة الأنظمة الكهربائية","هندسة كهربائية","Diplôme National en Licence",9,3,12
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Architecture et bâtiment","قيادة الحضائر","هندسة مدنية","Diplôme National en Licence",8,6,14
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Ingénierie et techniques apparentées","هندسة كهربائية: الآلية والاعلامية الصناعية","هندسة كهربائية","Diplôme National en Licence",12,8,20
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Architecture et bâtiment","هندسة مدنية : أشغال عامة","هندسة مدنية","Diplôme National en Licence",25,16,41
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Rades","Ingénierie et techniques apparentées","هندسة ميكانيكية:الصيانة الصناعية","هندسة ميكانيكية","Diplôme National en Licence",39,7,46
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Zaghouan","Affaires commerciales et administratives","إدارة الأعمال","تصرف","Mastère professionnel",5,20,25
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Zaghouan","Industrie de transformation et de traitement","الأساليب الغذائية","هندسة المواد","Diplôme National en Licence",2,26,28
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Zaghouan","Sciences physiques","الأساليب الكيميائية","كيمياء","Diplôme National en Licence",3,37,40
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Zaghouan","Ingénierie et techniques apparentées","التصرف في الانتاج","هندسة صناعية والكترونيك وآلية","Diplôme National en Licence",11,20,31
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Zaghouan","Affaires commerciales et administratives","التصرف في الجودة، الصحة، السلامة والمحيط","تصرف","Diplôme National en Licence",2,12,14
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Zaghouan","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Diplôme National en Licence",2,5,7
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Zaghouan","Sciences  informatique et multimédia","تطوير أنظمة المعلومات","إعلامية","Diplôme National en Licence",19,28,47
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Zaghouan","Affaires commerciales et administratives","تقنيات المحاسبة والمالية","محاسبة","Diplôme National en Licence",7,17,24
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Zaghouan","Sciences physiques","هندسة الأساليب","كيمياء","Mastère professionnel",1,13,14
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Affaires commerciales et administratives","إدارة الأعمال","تصرف","Diplôme National en Licence",4,22,26
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Architecture et bâtiment","الأشغال العمومية","هندسة مدنية","Diplôme National en Licence",24,18,42
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Architecture et bâtiment","البناء","هندسة مدنية","Diplôme National en Licence",6,5,11
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Affaires commerciales et administratives","التجارة والتوزيع","تصرف","Diplôme National en Licence",1,13,14
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Ingénierie et techniques apparentées","التصميم والتصنيع الميكانيكي","هندسة ميكانيكية","Diplôme National en Licence",19,13,32
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Diplôme National en Licence",1,6,7
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Affaires commerciales et administratives","المحاسبة والمالية","محاسبة","Diplôme National en Licence",5,13,18
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Sciences  informatique et multimédia","تطوير أنظمة المعلومات","إعلامية","Diplôme National en Licence",9,16,25
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Ingénierie et techniques apparentées","صيانة صناعية","هندسة ميكانيكية","Diplôme National en Licence",13,5,18
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Ingénierie et techniques apparentées","هندسة كهربائية: الآلية والاعلامية الصناعية","هندسة كهربائية","Diplôme National en Licence",11,6,17
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Siliana","Ingénierie et techniques apparentées","هندسة كهربائية: الالكترونيك الصناعي","هندسة كهربائية","Diplôme National en Licence",16,14,30
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Affaires commerciales et administratives","إدارة الأعمال","تصرف","Diplôme National en Licence",5,32,37
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Sciences  informatique et multimédia","الأنظمة المحمولة والجوالة","إعلامية","Diplôme National en Licence",2,2,4
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Industrie de transformation et de traitement","البلاستيك والمواد المركبة","هندسة المواد","Mastère professionnel",9,10,19
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Ingénierie et techniques apparentées","البناء والصناعات الميكانيكية","هندسة ميكانيكية","Diplôme National en Licence",22,12,34
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Sciences  informatique et multimédia","الحوسبة السحابية وتطوير المنضظومات الموزعة","إعلامية","Mastère professionnel",1,6,7
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Diplôme National en Licence",0,3,3
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Sciences  informatique et multimédia","الملتيميديا وتطوير الواب","فن الملتيميديا","Diplôme National en Licence",8,9,17
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Sciences  informatique et multimédia","تطوير أنظمة المعلومات","إعلامية","Diplôme National en Licence",31,14,45
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Ingénierie et techniques apparentées","صيانة الأنظمة الكهربائية","هندسة كهربائية","Diplôme National en Licence",11,1,12
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Ingénierie et techniques apparentées","صيانة صناعية","هندسة ميكانيكية","Diplôme National en Licence",31,5,36
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Sciences  informatique et multimédia","هندسة المنظومات والتطوير السريع للتطبيقات","إعلامية","Mastère professionnel",6,8,14
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Ingénierie et techniques apparentées","هندسة صناعية: قيادة الانظمة الصناعية المتصلة","هندسة صناعية والكترونيك وآلية","Mastère professionnel",9,10,19
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Ingénierie et techniques apparentées","هندسة كهربائية : كهرباء صناعية","هندسة كهربائية","Diplôme National en Licence",12,9,21
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Ingénierie et techniques apparentées","هندسة كهربائية: الآلية والاعلامية الصناعية","هندسة كهربائية","Diplôme National en Licence",7,15,22
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Ingénierie et techniques apparentées","هندسة كهربائية: الالكترونيك الصناعي","هندسة كهربائية","Diplôme National en Licence",31,11,42
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Ingénierie et techniques apparentées","هندسة ميكانيكية : صناعة البلاستيك","هندسة ميكانيكية","Diplôme National en Licence",8,4,12
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sousse","Ingénierie et techniques apparentées","هندسة ميكانيكية: التصنيع المتكامل بالحاسوب","هندسة ميكانيكية","Mastère professionnel",11,7,18
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sidi Bouzid","Ingénierie et techniques apparentées","التصميم والتصنيع الميكانيكي","هندسة ميكانيكية","Diplôme National en Licence",23,16,39
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sidi Bouzid","Sciences  informatique et multimédia","الشبكات والخدمات الإعلامية","إعلامية","Diplôme National en Licence",6,16,22
"DIRECTION GENERALE DES ETUDES TECHNOLOGIQUES","Institut Supérieur des Etudes Technologiques de Sidi Bouzid","Ingénierie et techniques apparentées","الصيانة الصناعية","هندسة ميكانيكية","Diplôme National en Licence",15,2,17
